Tarih,Kapanış(TL),Min(TL),Max(TL),AOF(TL),Hacim(TL),Sermaye(mn TL),USDTRY,BIST 100,PiyasaDeğeri(mn TL),PiyasaDeğeri(mn USD),HalkaAçık PD(mn TL),HalkaAçık PD(mn USD)
29-07-2020,72.1,71.1,74.4,72.36,289841335,607,6.9497,1136,43779,6299,29695,4273
30-07-2020,71.45,71.3,72.3,71.65,85441650,607,6.9497,1127,43384,6243,29428,4234
04-08-2020,64.75,64.75,72.15,67.78,772145341,607,6.9459,1087,39316,5660,26668,3839
05-08-2020,63.5,62.05,66.85,63.97,523807030,607,6.9998,1092,38557,5508,26153,3736
06-08-2020,62.5,62.15,64.45,62.95,461201645,607,7.1722,1034,37950,5291,25741,3589
07-08-2020,62.6,61.15,63.6,62.36,549488829,607,7.2792,1061,38011,5222,25783,3542
10-08-2020,64.7,62.45,65.15,64.34,587212430,607,7.3128,1076,39286,5372,26648,3644
11-08-2020,65.45,64.25,66.8,65.73,583843271,607,7.2613,1110,39741,5473,26956,3712
12-08-2020,67.2,65.45,67.2,66.24,483765655,607,7.2996,1114,40804,5590,27677,3792
13-08-2020,67.45,66.4,68.2,67.23,474395761,607,7.3278,1100,40956,5589,27780,3791
14-08-2020,67.2,65.9,68.05,67,304856117,607,7.3577,1084,40804,5546,27677,3762
17-08-2020,66.85,66.8,67.5,67.11,140571940,607,7.381,1086,40591,5499,27533,3730
18-08-2020,66.7,66.7,68.5,67.22,262686232,607,7.3812,1092,40500,5487,27471,3722
19-08-2020,70.05,68.5,71,69.38,777080449,607,7.3609,1125,42534,5778,28851,3920
20-08-2020,68.65,68.4,70.25,69,249580219,607,7.3083,1127,41684,5704,28274,3869
21-08-2020,68,67.5,69.4,68.42,237738136,607,7.2286,1110,41290,5712,28007,3874
24-08-2020,69.55,67.35,69.85,68.99,258551228,607,7.3504,1108,42231,5745,28645,3897
25-08-2020,69.6,68.1,69.75,69.09,231392189,607,7.3807,1092,42261,5726,28666,3884
26-08-2020,71.65,68.45,71.7,70.49,404018941,607,7.3591,1099,43506,5912,29510,4010
27-08-2020,71.1,70.85,72.65,71.78,222120127,607,7.3306,1109,43172,5889,29284,3995
28-08-2020,69.8,69.7,71.4,70.37,144060854,607,7.3182,1101,42383,5791,28748,3928
31-08-2020,67.85,67.4,70.2,68.35,397307768,607,7.3393,1079,41199,5613,27945,3808
01-09-2020,67.75,67.3,69.1,68.03,291265397,607,7.3553,1085,41138,5593,27904,3794
02-09-2020,68.2,67.75,68.25,67.97,160270081,607,7.3696,1084,41411,5619,28089,3811
03-09-2020,67.45,67.3,68.4,67.78,159954299,607,7.4127,1076,40956,5525,27780,3748
04-09-2020,67.75,67.15,68.35,67.66,140538397,607,7.4267,1086,41138,5539,27965,3766
07-09-2020,67.7,67.3,68.2,67.66,111210925,607,7.4483,1097,41107,5519,27945,3752
08-09-2020,67.55,67.2,67.95,67.6,140246996,607,7.4672,1090,41016,5493,27883,3734
09-09-2020,68.2,67.45,68.6,68.19,167732881,607,7.4805,1100,41411,5536,28151,3763
10-09-2020,67.7,67.2,68.6,67.69,162720568,607,7.4688,1099,41107,5504,27945,3742
11-09-2020,69.3,67.7,69.4,68.67,227797229,607,7.453,1103,42079,5646,28605,3838
14-09-2020,70.3,68.75,70.55,69.73,198414035,607,7.4823,1107,42686,5705,29018,3878
15-09-2020,70.1,69.05,71.85,70.95,286696920,607,7.4803,1111,42565,5690,28935,3868
16-09-2020,69.6,69.6,71.45,70.4,179433447,607,7.4812,1107,42261,5649,28729,3840
17-09-2020,70.2,68.8,71.3,69.68,171472462,607,7.5287,1111,42625,5662,28977,3849
18-09-2020,70.15,69.6,70.35,70,142621797,607,7.548,1112,42595,5643,28956,3836
21-09-2020,68.8,68.8,70.25,69.46,160564077,607,7.5857,1087,41775,5507,28399,3744
22-09-2020,69,68.55,69.9,69.22,215807530,607,7.6389,1096,41897,5485,28481,3728
23-09-2020,68.5,68.35,69.6,68.77,135964784,607,7.6708,1103,41593,5422,28275,3686
24-09-2020,69,68.15,69.2,68.76,138696206,607,7.6768,1120,41897,5458,28481,3710
25-09-2020,69.2,69.2,70.45,69.79,215596744,607,7.5682,1124,42018,5552,28564,3774
28-09-2020,68.4,68.35,69.6,68.72,207522048,607,7.7647,1121,41532,5349,28234,3636
29-09-2020,68.7,68,69,68.59,193263511,607,7.8221,1123,41715,5333,28358,3625
30-09-2020,69.6,68.8,69.9,69.39,220884231,607,7.7662,1145,42261,5442,28729,3699
01-10-2020,69.9,69.3,70.85,70.11,168167904,607,7.7085,1144,42443,5506,28853,3743
02-10-2020,69.35,69.1,69.8,69.36,87493606,607,7.7427,1145,42109,5439,28626,3697
05-10-2020,70.3,69.4,70.4,69.88,121673431,607,7.7446,1161,42686,5512,29018,3747
06-10-2020,69.45,69.45,70.75,70.04,213109668,607,7.7591,1154,42170,5435,28667,3695
07-10-2020,68.9,68.8,69.45,69.09,153019291,607,7.8408,1152,41836,5336,28557,3642
08-10-2020,69.25,68.8,69.55,69.11,214579772,607,7.9073,1150,42049,5318,28702,3630
09-10-2020,70,69.1,70,69.53,149368261,607,7.9215,1166,42504,5366,29013,3663
12-10-2020,70,69.85,71,70.42,236319744,607,7.8815,1178,42504,5393,29013,3681
13-10-2020,68.85,68.85,70.1,69.31,202543265,607,7.892,1175,41806,5297,28537,3616
14-10-2020,69,68.3,69.2,68.8,168164234,607,7.9348,1189,41897,5280,28599,3604
15-10-2020,69.45,68.8,70,69.42,239435738,607,7.9259,1180,42170,5321,28785,3632
16-10-2020,69.7,69,69.8,69.47,148800069,607,7.9272,1193,42322,5339,28889,3644
19-10-2020,68.6,68.45,70.05,69.27,215556133,607,7.892,1205,41654,5278,28433,3603
20-10-2020,69.3,68.5,69.9,69.15,371271277,607,7.8903,1210,42079,5333,28723,3640
21-10-2020,70.15,69.25,70.35,69.85,202963743,607,7.832,1212,42595,5439,29075,3712
22-10-2020,72.95,70.35,73.1,71.69,506543407,607,7.8166,1198,44295,5667,30236,3868
23-10-2020,70.2,70.15,72.95,71.34,318115053,607,7.9522,1191,42625,5360,29096,3659
26-10-2020,70.2,69.3,71.75,70.71,330989670,607,8.0429,1144,42625,5300,29096,3618
27-10-2020,70.6,69.55,72.05,70.44,238555742,607,8.1357,1153,42868,5269,,
28-10-2020,68.5,68.5,70.55,69.52,90077474,607,8.1357,1127,41593,5112,28392,3490
30-10-2020,66.8,66.1,69.25,67.55,311879137,607,8.3232,1112,40561,4873,27687,3326
02-11-2020,67.2,66.9,69,67.71,221974449,607,8.3911,1134,40804,4863,27853,3319
03-11-2020,68.2,67.35,68.55,67.91,220530993,607,8.4698,1151,41411,4889,28267,3337
04-11-2020,69,68.3,69.3,68.77,151156740,607,8.4705,1168,41897,4946,28599,3376
05-11-2020,69,68.35,69.35,68.84,157838525,607,8.4569,1180,41897,4954,28599,3382
06-11-2020,70,68.8,70,69.23,210272969,607,8.4765,1192,42504,5014,29013,3423
09-11-2020,70.4,68.95,71.7,70.3,311620676,607,8.1926,1232,42747,5218,29179,3562
10-11-2020,69,69,70.85,69.64,244023473,607,8.2507,1243,41897,5078,28599,3466
11-11-2020,69,68.7,69.95,69.23,248026439,607,8.0622,1279,41897,5197,28599,3547
12-11-2020,68.5,68.5,69.7,69.03,275564708,607,7.8037,1272,41593,5330,28392,3638
13-11-2020,68.9,68.35,69.15,68.72,146363067,607,7.6435,1291,41836,5473,28557,3736
16-11-2020,68.75,68.65,69.5,69.03,149657329,607,7.6889,1293,41745,5429,28495,3706
17-11-2020,69.95,69.35,71.2,70.32,500829367,607,7.7533,1260,42474,5478,28993,3739
18-11-2020,70.65,69.1,70.7,69.96,265271615,607,7.7334,1295,42899,5547,29283,3787
19-11-2020,70,69.5,71.3,70.56,276160301,607,7.6837,1313,42504,5532,29013,3776
20-11-2020,69.6,69.55,70.5,69.92,206816858,607,7.5922,1324,42261,5566,28847,3800
23-11-2020,69.55,69.15,70.2,69.66,199998502,607,7.7733,1314,42231,5433,28827,3708
24-11-2020,68.65,68.65,69.9,69.03,219270429,607,7.9313,1321,41684,5256,28454,3588
25-11-2020,69.5,68.8,69.7,69.16,206164818,607,7.9558,1325,42200,5304,28806,3621
26-11-2020,70.3,69.25,70.45,70,217660696,607,7.9088,1342,42686,5397,29138,3684
27-11-2020,69.85,69.5,70.75,70.13,167621500,607,7.8116,1329,42413,5429,28951,3706
30-11-2020,70,70,71.85,70.73,700078342,607,7.8032,1284,42504,5447,29013,3718
01-12-2020,70.35,69.9,71.1,70.42,315486883,607,7.8553,1325,42717,5438,29158,3712
02-12-2020,69.7,69.6,70.6,69.95,194933060,607,7.8221,1325,42322,5411,28889,3693
03-12-2020,71.1,69.25,71.1,70.31,296877290,607,7.8614,1331,43172,5492,29469,3749
04-12-2020,70.7,70,71.25,70.28,251258154,607,7.7936,1331,42929,5508,29303,3760
07-12-2020,70.35,70.25,71,70.57,150692619,607,7.8514,1330,42717,5441,29158,3714
08-12-2020,69,69,70.75,69.82,208606958,607,7.8227,1340,41897,5356,28599,3656
09-12-2020,68.6,68.6,70.45,69.46,417054146,607,7.8344,1350,41654,5317,28433,3629
10-12-2020,69.05,68.9,69.5,69.17,195245277,607,7.864,1353,41927,5332,28619,3639
11-12-2020,70.15,69.45,70.6,70.01,277890298,607,7.9492,1371,42595,5358,29075,3658
14-12-2020,70.35,69.75,70.7,70.23,223905358,607,7.8841,1389,42717,5418,29158,3698
15-12-2020,71,70.65,72.5,71.38,292687907,607,7.8473,1395,43111,5494,29419,3749
16-12-2020,70.1,70.1,71.35,70.57,186889358,607,7.8013,1392,42565,5456,29046,3723
